Protocol	X-coordinate	Y-coordinate
NTP	9.561513	0.024033
NTP	10.120730	0.023750
NTP	10.679947	0.023426
NTP	11.239163	0.023063
NTP	11.798380	0.022667
NTP	12.357597	0.022241
NTP	12.916813	0.021790
NTP	13.476030	0.021317
NTP	14.035247	0.020829
NTP	14.594463	0.020327
NTP	15.153680	0.019818
NTP	15.712897	0.019304
NTP	16.272114	0.018790
NTP	16.831330	0.018279
NTP	17.390547	0.017774
NTP	17.949764	0.017279
NTP	18.508980	0.016795
NTP	19.068197	0.016326
NTP	19.627414	0.015874
NTP	20.186630	0.015440
NTP	20.745847	0.015026
NTP	21.305064	0.014634
NTP	21.864281	0.014263
NTP	22.423497	0.013915
NTP	22.982714	0.013590
NTP	23.541931	0.013289
NTP	24.101147	0.013010
NTP	24.660364	0.012754
NTP	25.219581	0.012519
NTP	25.778797	0.012306
NTP	26.338014	0.012113
NTP	26.897231	0.011940
NTP	27.456448	0.011784
NTP	28.015664	0.011644
NTP	28.574881	0.011520
NTP	29.134098	0.011409
NTP	29.693314	0.011310
NTP	30.252531	0.011221
NTP	30.811748	0.011140
NTP	31.370964	0.011066
NTP	31.930181	0.010998
NTP	32.489398	0.010933
NTP	33.048615	0.010870
NTP	33.607831	0.010807
NTP	34.167048	0.010744
NTP	34.726265	0.010678
NTP	35.285481	0.010609
NTP	35.844698	0.010535
NTP	36.403915	0.010457
NTP	36.963131	0.010372
NTP	37.522348	0.010280
NTP	38.081565	0.010182
NTP	38.640782	0.010076
NTP	39.199998	0.009962
NTP	39.759215	0.009841
NTP	40.318432	0.009712
NTP	40.877648	0.009576
NTP	41.436865	0.009433
NTP	41.996082	0.009283
NTP	42.555298	0.009128
NTP	43.114515	0.008968
NTP	43.673732	0.008803
NTP	44.232949	0.008633
NTP	44.792165	0.008461
NTP	45.351382	0.008286
NTP	45.910599	0.008108
NTP	46.469815	0.007930
NTP	47.029032	0.007750
NTP	47.588249	0.007570
NTP	48.147465	0.007390
NTP	48.706682	0.007210
NTP	49.265899	0.007031
NTP	49.825116	0.006852
NTP	50.384332	0.006674
NTP	50.943549	0.006497
NTP	51.502766	0.006320
NTP	52.061982	0.006145
NTP	52.621199	0.005969
NTP	53.180416	0.005794
NTP	53.739633	0.005620
NTP	54.298849	0.005445
NTP	54.858066	0.005270
NTP	55.417283	0.005095
NTP	55.976499	0.004920
NTP	56.535716	0.004744
NTP	57.094933	0.004567
NTP	57.654149	0.004390
NTP	58.213366	0.004213
NTP	58.772583	0.004035
NTP	59.331800	0.003858
NTP	59.891016	0.003681
NTP	60.450233	0.003504
NTP	61.009450	0.003328
NTP	61.568666	0.003154
NTP	62.127883	0.002982
NTP	62.687100	0.002811
NTP	63.246316	0.002644
NTP	63.805533	0.002480
NTP	64.364750	0.002319
NTP	64.923967	0.002163
NTP	65.483183	0.002012
NTP	66.042400	0.001865
NTP	66.601617	0.001724
NTP	67.160833	0.001589
NTP	67.720050	0.001460
NTP	68.279267	0.001336
NTP	68.838483	0.001220
NTP	69.397700	0.001110
NTP	69.956917	0.001006
NTP	70.516134	0.000909
NTP	71.075350	0.000819
NTP	71.634567	0.000735
NTP	72.193784	0.000658
NTP	72.753000	0.000586
NTP	73.312217	0.000521
NTP	73.871434	0.000461
NTP	74.430650	0.000407
NTP	74.989867	0.000358
NTP	75.549084	0.000313
NTP	76.108301	0.000273
NTP	76.667517	0.000238
NTP	77.226734	0.000206
NTP	77.785951	0.000178
NTP	78.345167	0.000153
NTP	78.904384	0.000131
NTP	79.463601	0.000112
NTP	80.022817	0.000095
NTP	80.582034	0.000081
NTP	81.141251	0.000068
NTP	81.700468	0.000057
NTP	82.259684	0.000048
NTP	82.818901	0.000040
NTP	83.378118	0.000033
NTP	83.937334	0.000028
NTP	84.496551	0.000023

MQTT	1.736896	0.095727
MQTT	3.698284	0.064219
MQTT	5.659671	0.033444
MQTT	7.621059	0.017278
MQTT	9.582446	0.011402
MQTT	11.543834	0.009336
MQTT	13.505221	0.007874
MQTT	15.466609	0.006076
MQTT	17.427996	0.004158
MQTT	19.389384	0.002678
MQTT	21.350771	0.001823
MQTT	23.312159	0.001412
MQTT	25.273546	0.001239
MQTT	27.234934	0.001189
MQTT	29.196321	0.001188
MQTT	31.157709	0.001173
MQTT	33.119096	0.001105
MQTT	35.080484	0.001002
MQTT	37.041871	0.000951
MQTT	39.003258	0.001004
MQTT	40.964646	0.001127
MQTT	42.926033	0.001403
MQTT	44.887421	0.002143
MQTT	46.848808	0.003438
MQTT	48.810196	0.004823
MQTT	50.771583	0.005744
MQTT	52.732971	0.006122
MQTT	54.694358	0.006246
MQTT	56.655746	0.006242
MQTT	58.617133	0.005833
MQTT	60.578521	0.004723
MQTT	62.539908	0.003127
MQTT	64.501296	0.001664
MQTT	66.462683	0.000734
MQTT	68.424071	0.000288
MQTT	70.385458	0.000115
MQTT	72.346846	0.000063
MQTT	74.308233	0.000045
MQTT	76.269620	0.000027
MQTT	78.231008	0.000014
MQTT	80.192395	0.000016
MQTT	82.153783	0.000031
MQTT	84.115170	0.000053
MQTT	86.076558	0.000070
MQTT	88.037945	0.000068
MQTT	89.999333	0.000050
MQTT	91.960720	0.000030
MQTT	93.922108	0.000020
MQTT	95.883495	0.000019
MQTT	97.844883	0.000019
MQTT	99.806270	0.000017
MQTT	101.767658	0.000012
MQTT	103.729045	0.000006
MQTT	105.690433	0.000002
MQTT	107.651820	0.000000
MQTT	109.613207	0.000000
MQTT	111.574595	0.000000
MQTT	113.535982	0.000000
MQTT	115.497370	0.000000
MQTT	117.458757	0.000000
MQTT	119.420145	0.000000
MQTT	121.381532	0.000000
MQTT	123.342920	0.000000
MQTT	125.304307	0.000000
MQTT	127.265695	0.000000
MQTT	129.227082	0.000000
MQTT	131.188470	0.000000
MQTT	133.149857	0.000000
